gig_title,company,description,budget_min_usd,budget_max_usd,duration_weeks,location,required_skills,url,career_title
Freelance Project: Data Scientist Expert Needed,PeoplePerHour,Seeking a skilled professional in Data Scientist for a project on a popular freelance platform.,1961,4729,3,Remote,"Skill A, Skill B, Data Scientist expertise",https://example.com/gig/data-scientist-1,Data Scientist
Freelance Project: Data Scientist Expert Needed,Upwork,Seeking a skilled professional in Data Scientist for a project on a popular freelance platform.,631,3166,4,Remote,"Skill A, Skill B, Data Scientist expertise",https://example.com/gig/data-scientist-2,Data Scientist
Freelance Project: AI Engineer Expert Needed,Guru,Seeking a skilled professional in AI Engineer for a project on a popular freelance platform.,594,3521,4,Onsite,"Skill A, Skill B, AI Engineer expertise",https://example.com/gig/ai-engineer-1,AI Engineer
Freelance Project: AI Engineer Expert Needed,Upwork,Seeking a skilled professional in AI Engineer for a project on a popular freelance platform.,1047,3071,4,Onsite,"Skill A, Skill B, AI Engineer expertise",https://example.com/gig/ai-engineer-2,AI Engineer
Freelance Project: Cybersecurity Analyst Expert Needed,Freelancer,Seeking a skilled professional in Cybersecurity Analyst for a project on a popular freelance platform.,1726,2504,4,Onsite,"Skill A, Skill B, Cybersecurity Analyst expertise",https://example.com/gig/cybersecurity-analyst-1,Cybersecurity Analyst
Freelance Project: Cybersecurity Analyst Expert Needed,Fiverr,Seeking a skilled professional in Cybersecurity Analyst for a project on a popular freelance platform.,1760,4590,3,Hybrid,"Skill A, Skill B, Cybersecurity Analyst expertise",https://example.com/gig/cybersecurity-analyst-2,Cybersecurity Analyst
Freelance Project: UX/UI Designer Expert Needed,Guru,Seeking a skilled professional in UX/UI Designer for a project on a popular freelance platform.,657,2695,5,Onsite,"Skill A, Skill B, UX/UI Designer expertise",https://example.com/gig/ux/ui-designer-1,UX/UI Designer
Freelance Project: UX/UI Designer Expert Needed,PeoplePerHour,Seeking a skilled professional in UX/UI Designer for a project on a popular freelance platform.,1554,2723,2,Onsite,"Skill A, Skill B, UX/UI Designer expertise",https://example.com/gig/ux/ui-designer-2,UX/UI Designer
Freelance Project: Cloud Solutions Architect Expert Needed,Fiverr,Seeking a skilled professional in Cloud Solutions Architect for a project on a popular freelance platform.,1535,3162,3,Hybrid,"Skill A, Skill B, Cloud Solutions Architect expertise",https://example.com/gig/cloud-solutions-architect-1,Cloud Solutions Architect
Freelance Project: Cloud Solutions Architect Expert Needed,Guru,Seeking a skilled professional in Cloud Solutions Architect for a project on a popular freelance platform.,1025,3172,6,Hybrid,"Skill A, Skill B, Cloud Solutions Architect expertise",https://example.com/gig/cloud-solutions-architect-2,Cloud Solutions Architect
Freelance Project: Blockchain Developer Expert Needed,Freelancer,Seeking a skilled professional in Blockchain Developer for a project on a popular freelance platform.,574,4756,4,Hybrid,"Skill A, Skill B, Blockchain Developer expertise",https://example.com/gig/blockchain-developer-1,Blockchain Developer
Freelance Project: Blockchain Developer Expert Needed,Fiverr,Seeking a skilled professional in Blockchain Developer for a project on a popular freelance platform.,1295,2532,6,Remote,"Skill A, Skill B, Blockchain Developer expertise",https://example.com/gig/blockchain-developer-2,Blockchain Developer
Freelance Project: Game Developer Expert Needed,Guru,Seeking a skilled professional in Game Developer for a project on a popular freelance platform.,667,4821,2,Hybrid,"Skill A, Skill B, Game Developer expertise",https://example.com/gig/game-developer-1,Game Developer
Freelance Project: Game Developer Expert Needed,Fiverr,Seeking a skilled professional in Game Developer for a project on a popular freelance platform.,548,3685,5,Hybrid,"Skill A, Skill B, Game Developer expertise",https://example.com/gig/game-developer-2,Game Developer
Freelance Project: Digital Marketing Specialist Expert Needed,Toptal,Seeking a skilled professional in Digital Marketing Specialist for a project on a popular freelance platform.,750,2582,2,Hybrid,"Skill A, Skill B, Digital Marketing Specialist expertise",https://example.com/gig/digital-marketing-specialist-1,Digital Marketing Specialist
Freelance Project: Digital Marketing Specialist Expert Needed,Fiverr,Seeking a skilled professional in Digital Marketing Specialist for a project on a popular freelance platform.,1994,3129,3,Remote,"Skill A, Skill B, Digital Marketing Specialist expertise",https://example.com/gig/digital-marketing-specialist-2,Digital Marketing Specialist
Freelance Project: Robotics Engineer Expert Needed,Guru,Seeking a skilled professional in Robotics Engineer for a project on a popular freelance platform.,843,4292,7,Onsite,"Skill A, Skill B, Robotics Engineer expertise",https://example.com/gig/robotics-engineer-1,Robotics Engineer
Freelance Project: Robotics Engineer Expert Needed,Fiverr,Seeking a skilled professional in Robotics Engineer for a project on a popular freelance platform.,1000,3561,2,Remote,"Skill A, Skill B, Robotics Engineer expertise",https://example.com/gig/robotics-engineer-2,Robotics Engineer
Freelance Project: Mobile App Developer Expert Needed,Guru,Seeking a skilled professional in Mobile App Developer for a project on a popular freelance platform.,1811,4021,5,Remote,"Skill A, Skill B, Mobile App Developer expertise",https://example.com/gig/mobile-app-developer-1,Mobile App Developer
Freelance Project: Mobile App Developer Expert Needed,Toptal,Seeking a skilled professional in Mobile App Developer for a project on a popular freelance platform.,947,4259,5,Hybrid,"Skill A, Skill B, Mobile App Developer expertise",https://example.com/gig/mobile-app-developer-2,Mobile App Developer
Freelance Project: Data Analyst Expert Needed,Guru,Seeking a skilled professional in Data Analyst for a project on a popular freelance platform.,1499,2968,3,Onsite,"Skill A, Skill B, Data Analyst expertise",https://example.com/gig/data-analyst-1,Data Analyst
Freelance Project: Data Analyst Expert Needed,Toptal,Seeking a skilled professional in Data Analyst for a project on a popular freelance platform.,1416,3149,4,Hybrid,"Skill A, Skill B, Data Analyst expertise",https://example.com/gig/data-analyst-2,Data Analyst
Freelance Project: Full Stack Developer Expert Needed,Guru,Seeking a skilled professional in Full Stack Developer for a project on a popular freelance platform.,680,3129,6,Hybrid,"Skill A, Skill B, Full Stack Developer expertise",https://example.com/gig/full-stack-developer-1,Full Stack Developer
Freelance Project: Full Stack Developer Expert Needed,PeoplePerHour,Seeking a skilled professional in Full Stack Developer for a project on a popular freelance platform.,1912,2611,2,Hybrid,"Skill A, Skill B, Full Stack Developer expertise",https://example.com/gig/full-stack-developer-2,Full Stack Developer
Freelance Project: Product Manager Expert Needed,PeoplePerHour,Seeking a skilled professional in Product Manager for a project on a popular freelance platform.,705,4454,6,Remote,"Skill A, Skill B, Product Manager expertise",https://example.com/gig/product-manager-1,Product Manager
Freelance Project: Product Manager Expert Needed,Upwork,Seeking a skilled professional in Product Manager for a project on a popular freelance platform.,1858,3414,7,Remote,"Skill A, Skill B, Product Manager expertise",https://example.com/gig/product-manager-2,Product Manager
Freelance Project: Bioinformatics Scientist Expert Needed,Freelancer,Seeking a skilled professional in Bioinformatics Scientist for a project on a popular freelance platform.,643,2863,2,Hybrid,"Skill A, Skill B, Bioinformatics Scientist expertise",https://example.com/gig/bioinformatics-scientist-1,Bioinformatics Scientist
Freelance Project: Bioinformatics Scientist Expert Needed,Guru,Seeking a skilled professional in Bioinformatics Scientist for a project on a popular freelance platform.,1949,3678,2,Hybrid,"Skill A, Skill B, Bioinformatics Scientist expertise",https://example.com/gig/bioinformatics-scientist-2,Bioinformatics Scientist
Freelance Project: Embedded Systems Engineer Expert Needed,Freelancer,Seeking a skilled professional in Embedded Systems Engineer for a project on a popular freelance platform.,1722,2743,2,Onsite,"Skill A, Skill B, Embedded Systems Engineer expertise",https://example.com/gig/embedded-systems-engineer-1,Embedded Systems Engineer
Freelance Project: Embedded Systems Engineer Expert Needed,Fiverr,Seeking a skilled professional in Embedded Systems Engineer for a project on a popular freelance platform.,578,3060,4,Onsite,"Skill A, Skill B, Embedded Systems Engineer expertise",https://example.com/gig/embedded-systems-engineer-2,Embedded Systems Engineer
Freelance Project: Machine Learning Engineer Expert Needed,Freelancer,Seeking a skilled professional in Machine Learning Engineer for a project on a popular freelance platform.,1454,2632,2,Remote,"Skill A, Skill B, Machine Learning Engineer expertise",https://example.com/gig/machine-learning-engineer-1,Machine Learning Engineer
Freelance Project: Machine Learning Engineer Expert Needed,Upwork,Seeking a skilled professional in Machine Learning Engineer for a project on a popular freelance platform.,1006,3579,6,Remote,"Skill A, Skill B, Machine Learning Engineer expertise",https://example.com/gig/machine-learning-engineer-2,Machine Learning Engineer
Freelance Project: Network Engineer Expert Needed,Guru,Seeking a skilled professional in Network Engineer for a project on a popular freelance platform.,1003,2902,3,Remote,"Skill A, Skill B, Network Engineer expertise",https://example.com/gig/network-engineer-1,Network Engineer
Freelance Project: Network Engineer Expert Needed,Freelancer,Seeking a skilled professional in Network Engineer for a project on a popular freelance platform.,1590,3508,2,Hybrid,"Skill A, Skill B, Network Engineer expertise",https://example.com/gig/network-engineer-2,Network Engineer
Freelance Project: DevOps Engineer Expert Needed,Guru,Seeking a skilled professional in DevOps Engineer for a project on a popular freelance platform.,1507,4805,7,Remote,"Skill A, Skill B, DevOps Engineer expertise",https://example.com/gig/devops-engineer-1,DevOps Engineer
Freelance Project: DevOps Engineer Expert Needed,PeoplePerHour,Seeking a skilled professional in DevOps Engineer for a project on a popular freelance platform.,1086,2983,6,Hybrid,"Skill A, Skill B, DevOps Engineer expertise",https://example.com/gig/devops-engineer-2,DevOps Engineer
Freelance Project: AR/VR Developer Expert Needed,Fiverr,Seeking a skilled professional in AR/VR Developer for a project on a popular freelance platform.,940,2746,5,Remote,"Skill A, Skill B, AR/VR Developer expertise",https://example.com/gig/ar/vr-developer-1,AR/VR Developer
Freelance Project: AR/VR Developer Expert Needed,Fiverr,Seeking a skilled professional in AR/VR Developer for a project on a popular freelance platform.,1477,2858,2,Onsite,"Skill A, Skill B, AR/VR Developer expertise",https://example.com/gig/ar/vr-developer-2,AR/VR Developer
Freelance Project: Ethical Hacker Expert Needed,Upwork,Seeking a skilled professional in Ethical Hacker for a project on a popular freelance platform.,1573,3614,4,Remote,"Skill A, Skill B, Ethical Hacker expertise",https://example.com/gig/ethical-hacker-1,Ethical Hacker
Freelance Project: Ethical Hacker Expert Needed,Guru,Seeking a skilled professional in Ethical Hacker for a project on a popular freelance platform.,1966,3612,6,Remote,"Skill A, Skill B, Ethical Hacker expertise",https://example.com/gig/ethical-hacker-2,Ethical Hacker
Freelance Project: Full-Stack Developer Expert Needed,Guru,Seeking a skilled professional in Full-Stack Developer for a project on a popular freelance platform.,1436,4701,6,Hybrid,"Skill A, Skill B, Full-Stack Developer expertise",https://example.com/gig/full-stack-developer-1,Full-Stack Developer
Freelance Project: Full-Stack Developer Expert Needed,Fiverr,Seeking a skilled professional in Full-Stack Developer for a project on a popular freelance platform.,868,4224,5,Remote,"Skill A, Skill B, Full-Stack Developer expertise",https://example.com/gig/full-stack-developer-2,Full-Stack Developer
Freelance Project: Data Engineer Expert Needed,Fiverr,Seeking a skilled professional in Data Engineer for a project on a popular freelance platform.,1901,2623,5,Remote,"Skill A, Skill B, Data Engineer expertise",https://example.com/gig/data-engineer-1,Data Engineer
Freelance Project: Data Engineer Expert Needed,Freelancer,Seeking a skilled professional in Data Engineer for a project on a popular freelance platform.,1511,4476,6,Remote,"Skill A, Skill B, Data Engineer expertise",https://example.com/gig/data-engineer-2,Data Engineer
Freelance Project: UX Researcher Expert Needed,Upwork,Seeking a skilled professional in UX Researcher for a project on a popular freelance platform.,1515,4350,5,Onsite,"Skill A, Skill B, UX Researcher expertise",https://example.com/gig/ux-researcher-1,UX Researcher
Freelance Project: UX Researcher Expert Needed,Freelancer,Seeking a skilled professional in UX Researcher for a project on a popular freelance platform.,1399,3756,7,Remote,"Skill A, Skill B, UX Researcher expertise",https://example.com/gig/ux-researcher-2,UX Researcher
Freelance Project: IoT Developer Expert Needed,Upwork,Seeking a skilled professional in IoT Developer for a project on a popular freelance platform.,1361,3754,2,Remote,"Skill A, Skill B, IoT Developer expertise",https://example.com/gig/iot-developer-1,IoT Developer
Freelance Project: IoT Developer Expert Needed,Upwork,Seeking a skilled professional in IoT Developer for a project on a popular freelance platform.,1523,2971,3,Hybrid,"Skill A, Skill B, IoT Developer expertise",https://example.com/gig/iot-developer-2,IoT Developer
Freelance Project: Cloud Security Engineer Expert Needed,Guru,Seeking a skilled professional in Cloud Security Engineer for a project on a popular freelance platform.,1485,2509,7,Onsite,"Skill A, Skill B, Cloud Security Engineer expertise",https://example.com/gig/cloud-security-engineer-1,Cloud Security Engineer
Freelance Project: Cloud Security Engineer Expert Needed,Upwork,Seeking a skilled professional in Cloud Security Engineer for a project on a popular freelance platform.,1261,4855,4,Hybrid,"Skill A, Skill B, Cloud Security Engineer expertise",https://example.com/gig/cloud-security-engineer-2,Cloud Security Engineer
Freelance Project: Technical Writer Expert Needed,Fiverr,Seeking a skilled professional in Technical Writer for a project on a popular freelance platform.,1787,3195,7,Remote,"Skill A, Skill B, Technical Writer expertise",https://example.com/gig/technical-writer-1,Technical Writer
Freelance Project: Technical Writer Expert Needed,Freelancer,Seeking a skilled professional in Technical Writer for a project on a popular freelance platform.,1164,4126,6,Remote,"Skill A, Skill B, Technical Writer expertise",https://example.com/gig/technical-writer-2,Technical Writer
Freelance Project: Site Reliability Engineer (SRE) Expert Needed,Guru,Seeking a skilled professional in Site Reliability Engineer (SRE) for a project on a popular freelance platform.,521,4734,2,Hybrid,"Skill A, Skill B, Site Reliability Engineer (SRE) expertise",https://example.com/gig/site-reliability-engineer-(sre)-1,Site Reliability Engineer (SRE)
Freelance Project: Site Reliability Engineer (SRE) Expert Needed,PeoplePerHour,Seeking a skilled professional in Site Reliability Engineer (SRE) for a project on a popular freelance platform.,976,3203,5,Hybrid,"Skill A, Skill B, Site Reliability Engineer (SRE) expertise",https://example.com/gig/site-reliability-engineer-(sre)-2,Site Reliability Engineer (SRE)
Freelance Project: Financial Analyst Expert Needed,Upwork,Seeking a skilled professional in Financial Analyst for a project on a popular freelance platform.,1221,3730,6,Hybrid,"Skill A, Skill B, Financial Analyst expertise",https://example.com/gig/financial-analyst-1,Financial Analyst
Freelance Project: Financial Analyst Expert Needed,Guru,Seeking a skilled professional in Financial Analyst for a project on a popular freelance platform.,1649,3912,6,Hybrid,"Skill A, Skill B, Financial Analyst expertise",https://example.com/gig/financial-analyst-2,Financial Analyst
Freelance Project: Quantum Computing Engineer Expert Needed,Guru,Seeking a skilled professional in Quantum Computing Engineer for a project on a popular freelance platform.,693,4555,6,Hybrid,"Skill A, Skill B, Quantum Computing Engineer expertise",https://example.com/gig/quantum-computing-engineer-1,Quantum Computing Engineer
Freelance Project: Quantum Computing Engineer Expert Needed,Toptal,Seeking a skilled professional in Quantum Computing Engineer for a project on a popular freelance platform.,512,4344,6,Remote,"Skill A, Skill B, Quantum Computing Engineer expertise",https://example.com/gig/quantum-computing-engineer-2,Quantum Computing Engineer
Freelance Project: Database Administrator Expert Needed,PeoplePerHour,Seeking a skilled professional in Database Administrator for a project on a popular freelance platform.,1364,3742,2,Remote,"Skill A, Skill B, Database Administrator expertise",https://example.com/gig/database-administrator-1,Database Administrator
Freelance Project: Database Administrator Expert Needed,Toptal,Seeking a skilled professional in Database Administrator for a project on a popular freelance platform.,766,2749,4,Onsite,"Skill A, Skill B, Database Administrator expertise",https://example.com/gig/database-administrator-2,Database Administrator
Freelance Project: Aerospace Engineer Expert Needed,Toptal,Seeking a skilled professional in Aerospace Engineer for a project on a popular freelance platform.,1356,4025,5,Hybrid,"Skill A, Skill B, Aerospace Engineer expertise",https://example.com/gig/aerospace-engineer-1,Aerospace Engineer
Freelance Project: Aerospace Engineer Expert Needed,Guru,Seeking a skilled professional in Aerospace Engineer for a project on a popular freelance platform.,1064,4762,2,Hybrid,"Skill A, Skill B, Aerospace Engineer expertise",https://example.com/gig/aerospace-engineer-2,Aerospace Engineer
Freelance Project: Human Resources Manager Expert Needed,Guru,Seeking a skilled professional in Human Resources Manager for a project on a popular freelance platform.,773,3773,6,Onsite,"Skill A, Skill B, Human Resources Manager expertise",https://example.com/gig/human-resources-manager-1,Human Resources Manager
