course_title,provider,description,tags,rating,students_enrolled,duration_weeks,cost_type,level,url,career_title,course_image_url
Complete Python Bootcamp From Zero to Hero,Udemy,Learn Python like a Professional Start from the basics and go all the way to creating your own applications and games.,"python, programming, Data Scientist",4.1,27225,8,Free,Advanced,https://www.udemy.com/course/complete-python-bootcamp/,Data Scientist,https://images.unsplash.com/photo-1526379095098-d400fd0bf935?w=400&h=300&fit=crop
Python for Data Science and Machine Learning,Pluralsight,Master Python programming fundamentals and apply them to data science workflows and machine learning algorithms.,"python, data science, Data Scientist",4.7,5130,7,Free,Beginner,https://www.pluralsight.com/courses/python-data-science,Data Scientist,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
Deep Learning Specialization,Pluralsight,Build and train deep neural network architectures including CNNs RNNs LSTMs and Transformers.,"deep learning, neural networks, AI Engineer",4.7,41998,11,Free,Intermediate,https://www.pluralsight.com/paths/deep-learning,AI Engineer,https://images.unsplash.com/photo-1677442136019-21780ecad995?w=400&h=300&fit=crop
AI For Everyone,Udemy,Master AI concepts and understand how to leverage artificial intelligence in your organization.,"artificial intelligence, business, AI Engineer",4.1,40418,9,Free,Advanced,https://www.udemy.com/course/ai-for-everyone/,AI Engineer,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=400&h=300&fit=crop
CompTIA Security+ Certification Prep,LinkedIn Learning,Prepare for the CompTIA Security+ exam and master essential cybersecurity concepts.,"security, comptia, Cybersecurity Analyst",4.1,32779,15,Premium,Intermediate,https://www.linkedin.com/learning/comptia-security-plus-sy0-601,Cybersecurity Analyst,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=400&h=300&fit=crop
Ethical Hacking and Penetration Testing,Udemy,Learn ethical hacking from scratch and become a certified penetration tester.,"hacking, security, Cybersecurity Analyst",4.8,11319,8,Premium,Beginner,https://www.udemy.com/course/ethical-hacking-kali-linux/,Cybersecurity Analyst,https://images.unsplash.com/photo-1555949963-aa79dcee981c?w=400&h=300&fit=crop
Google UX Design Professional Certificate,Pluralsight,Develop skills needed to become an entry-level UX designer with hands-on projects.,"ux design, google, UX/UI Designer",4.3,45502,14,Free,Beginner,https://www.pluralsight.com/courses/ux-design-fundamentals,UX/UI Designer,https://images.unsplash.com/photo-1559028006-448665bd7c7f?w=400&h=300&fit=crop
UI/UX Design Bootcamp,Coursera,Master user interface and user experience design principles with real-world projects.,"design, user experience, UX/UI Designer",4.4,49407,12,Free,Advanced,https://www.coursera.org/professional-certificates/google-ux-design,UX/UI Designer,https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=400&h=300&fit=crop
AWS Certified Solutions Architect,Pluralsight,Prepare for AWS certification and master cloud architecture design patterns.,"aws, cloud, Cloud Solutions Architect",4.6,38979,5,Premium,Beginner,https://www.pluralsight.com/paths/aws-certified-solutions-architect,Cloud Solutions Architect,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=400&h=300&fit=crop
Microsoft Azure Architect Technologies,edX,Learn to design and implement solutions that run on Microsoft Azure cloud platform.,"azure, cloud computing, Cloud Solutions Architect",4.4,14656,4,Free,Advanced,https://www.edx.org/course/microsoft-azure-architect-technologies,Cloud Solutions Architect,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=400&h=300&fit=crop
